SERIAL NUMBERS N86,COMPANY NAME,PIN NUMBER,D.TRANSFERED,MACHINE STATUS,SUPPLIER DEVICE RANGE,TEL NO,CU INVOICE NO.,P.L.U,P.O BOX,PAYMENT CODE,TEL NO,
KRAMW276202207086255,Z.J ATULO & COMPANY,A003504005D,,ACTIVATED,1780,,48000-3229,LAW FIRM,P.O BOX 1255-50100 KAKAMEGA,QKU6Y8RZYI,0721526378,
KRAMW276202207086256,INFOAGE BUSINESS SOLUTIONS LIMITED,P051319746M,0701624508 SHEILA,ACTIVATED,1781,,49000-3316,01/02/2023,P.O BOX 75794-00200 NRB,QL141Q9TTK,0701624508,
KRAMW276202207086257,SCOTTECH LIMITED,P051447635J,,VAR,1782,,40000-3334,,,,,
KRAMW276202207086258,PRIMESTONE WORKS LIMITED,P051244096G,,ACTIVATED,1783,,48000-3350,,P.O BOX 0804-00621,,0700070030,
KRAMW276202207086259,WILLINYA HOLDINGS LIMITED,P051687896K,,ACTIVATED,1784,,45000-3656,,P.O BOX 50511-00100,,,
KRAMW276202207086260,ECO PLAN MANAGEMENT LIMITED,P051171599D,JOEL,0722218180,1785,,,,P.O BOX 45879-00100,CONSULTANCY,43000-3623,
KRAMW276202207086261,PICPAK LIMITED,P051899674L,,VAR,1786,,,,,,,
KRAMW276202207086262,CONNEX INTERNATIONAL LIMITED,P051452669K,,ACTIVATED,1787,,48000-3341,,P.O BOX 198-00216,QL113BQOXJ,072286699,
KRAMW276202207086263,DAIMO  (EA) GENERAL SUPPLIES LIMITED,P0051464925E,,ACTIVATED,1788,,45000-2816,HARDWARE SUPPLIES,P.O BOX 452-00510 NBI,,0721905876,
KRAMW276202207086264,LITTLELAND AUTO ZONE LIMITED,P051768958H,,ACTIVATED,1789,,45000-0883,,,,,
KRAMW276202207086265,LATEST FASHIONTREND,P051801918X,,ACTIVATED,1790,,45000-2034,,P.O BOX 37-00100,,0720332363,
 ,BOTANIC TREASURIES,P051389572V,,ACTIVATED,1791,,45000-3340,,P.O BOX 52615-00200,,0706425383,
KRAMW276202207086267,MINARI & COMPANY LOGIZTICS ,P051387502B,,ACTIVATED,1792,,45000-2068,,P.O BOX 11062-00100,,,
KRAMW276202207086268,AGWARA & MUTEGI COMPANY,P051447327G,,ACTIVATED,1793,,45000-2069,,P.O BOX 41479-00100,,,
KRAMW276202207086269,YIWU HARDWARE LIMITED,P051393766M,,ACTIVATED,1794,,45000-3072,,P.O BOX 632218-0061       ,,254 720 580077,
KRAMW276202207086270,GALORE LUXURY RESORTS LIMITED,P051853566S,,ACTIVATED,1795,,46000-2332,03/12/2022,,TRANSFERRED,0710127370,RESORT
KRAMW276202207086271,SAMORA ENTERPRISES,A001449891L,,ACTIVATED,1796,,,,P.O BOX 68999-00610,,0722702744,
KRAMW276202207086272,TOP SUPREME MOTORCYCLE,A003769565S,,ACTIVATED,1797,,48000-3457,,P.O BOX 61262-01000,,0725806749,
KRAMW276202207086273,SILVERZONE MERCHANTS LIMITED,P051702622W,,ACTIVATED,1798,,45000-3458,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,,0720988961,
KRAMW276202207086274,ELWAK PRINTERS & STATIONERS,A002687667Q,,ACTIVATED,1799,,45000-1374,"PRINTING SERVICES, BRANDING",TRANSFERRED,P.O BOX 12066-00400 NRB,0722725771,
KRAMW276202207086275,TITUS  AND KIBE SPRAYERS INVESTMENT,P051241235K,,ACTIVATED,1800,,49000-1805,,,,0720321396,
KRAMW276202207086276,PICPAK LIMITED,P051899674L,,VAR,1801,,,,,,,
KRAMW276202207086277,PICPAK LIMITED,P051899674L,,VAR,1802,,,,,,,
KRAMW276202207086278,PICPAK LIMITED,P051899674L,,VAR,1803,,,,,,,
KRAMW276202207086279,GRANADA ENERGY LIMITED,P052026538A,,ACTIVATED,1804,,45000-3445,,,,0723260393,
KRAMW276202207086280,POLYGON NETWORK LIMITED,P052142816L,,ACTIVATED,1805,,48000-3443,,,,,
KRAMW276202207086281,PAPS CONTRACTORS AND SUPPLIERS LIMITED,P051854183R,,ACTIVATED,1806,,,,,,,
KRAMW276202207086282,BRISMA AFRICA,P051164745X,,VAR,1807,,,,,,,
KRAMW276202207086283,BRISMA AFRICA,P051164745X,,VAR,1808,,,,,,,
KRAMW276202207086284,BRISMA AFRICA,P051164745X,,VAR,1809,,,,,,,
KRAMW276202207086285,BRISMA AFRICA,P051164745X,,VAR,1810,,,,,,,
KRAMW276202207086286,BRISMA AFRICA,P051164745X,,VAR,1811,,,,,,,
KRAMW276202207086287,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1812,,,,,,,
KRAMW276202207086288,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1813,,,,,,,
KRAMW276202207086289,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1814,,,,,,,
KRAMW276202207086290,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1815,,,,,,,
KRAMW276202207086291,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1816,,,,,,,
KRAMW276202207086292,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1817,,,,,,,
KRAMW276202207086293,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1818,,,,,,,
KRAMW276202207086294,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1819,,,,,,,
KRAMW276202207086295,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1820,,,,,,,
KRAMW276202207086296,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1821,,,,,,,
KRAMW276202207086297,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1822,,,,,,,
KRAMW276202207086298,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1823,,,,,,,
KRAMW276202207086299,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1824,,,,,,,
KRAMW276202207086300,DAN AND DAVE SERVICES,P051395194Q,,ACTIVATED,1825,,50000-3251,,,,,
KRAMW276202207086301,PIKPAK LIMITED,P051899674L,,VAR,1826,,,,,,,
KRAMW276202207086302,PIKPAK LIMITED,P051899674L,,VAR,1827,,,,,,,
KRAMW276202207086303,STEADFAST BUSINESS SYSTEMS LIMITED,P051610351V,15/12/2022,ACTIVATED,1828,,,,,,,
KRAMW276202207086304,JIM AFRICA EXHIBITIONS LIMITED,P051642513T,,ACTIVATED,1829,,55000-3166,P.O BOX 32900-00600,QGU6CBE6VC/QKT4VUKZ44,,,
KRAMW276202207086305,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1830,,,,,,,
KRAMW276202207086306,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1831,,,,,,,
KRAMW276202207086307,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1832,,,,,,,
KRAMW276202207086308,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1833,,,,,,,
KRAMW276202207086309,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1834,,,,,,,
KRAMW276202207086310,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1835,,,,,,,
KRAMW276202207086311,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1836,,,,,,,
KRAMW276202207086312,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1837,,,,,,,
KRAMW276202207086313,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1838,,,,,,,
KRAMW276202207086314,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1839,,,,,,,
KRAMW276202207086315,NEO SEAL AND REGIONALFGREIGHTERS LIMITD,P051152920L,,ACTIVATED,1840,,48000-3702,,,,,
KRAMW276202207086316,BRISMA AFRICA,P051164745X,,VAR,1841,,76000-3772,,,,,
KRAMW276202207086317,BRISMA AFRICA,P051164745X,,VAR,1842,,,,,,,
KRAMW276202207086318,SCOTTECH LIMITED,P051447635J,,VAR,1843,,,,,,,
KRAMW276202207086319,MARKETING AFRICA LIMITED,P051182237Q,,ACTIVATED,1844,,04/01/2023,,P.O BOX 36481-00200,General marketing,50000-3800,
KRAMW276202207086320,HUNTER REALTIME LTD,P051665042G,,,1845,,,,P.O BOX50512-00100,,43000-2845,
KRAMW276202207086321,KAHLO LIMITED   ,P052167387Z,,,1846,,,,,,,
KRAMW276202207086322,KAHLO LIMITED   ,P052167387Z,,ACTIVATED,1847,,,,,,50000-3518,
KRAMW276202207086323,Royal Boulevard Resorts Company Limited,P051554126A,,ACTIVATED,1848,,,,,,,
KRAMW276202207086324,Master Chartered Company Limited,P051472148A,,ACTIVATED,1849,,,,,,,
KRAMW276202207086325,BELIMAK CONSTRUCTION LIMITED,P051680340X,,ACTIVATED,1850,,,,,,,
KRAMW276202207086326,RYZEN DIGITAL SOLUTINS LIMITED,P052097378R,02.02.23,ACTIVATED,1851,,,,,,,
KRAMW276202207086327,Widelink Solutions Limited,P051604702V,,ACTIVATED,1852,,,,,,,
KRAMW276202207086328,FGEE COMPUTERS,P051447824I         ,VAR,,1853,,,,,,,
KRAMW276202207086329,FISCAL GADGET,P052127322R,,,1854,,,,,,,
